subte,hospital,metrobus,universidad,escuela publica,escuela privada,centro de salud
676.853137053,1343.42322215,651.573529938,259.025774391,307.361165002,243.684366135,453.198623698
690.420200716,1509.73828968,680.173135151,310.698707993,299.476281506,106.01986941,661.1406546
1383.49430033,2337.84319523,745.623375095,317.992057722,453.519488308,119.006357932,1255.25387255
534.534192462,591.675930534,1723.12508302,555.254203864,194.351776585,524.013546549,836.355397487
534.534192462,591.675930534,1723.12508302,555.254203864,194.351776585,524.013546549,836.355397487
363.22797337,512.292716864,430.297780927,740.536223627,277.958382934,353.964482191,640.791599673
602.796650083,302.634107673,1766.04579896,174.941158578,144.523229825,194.662197082,295.141046423
585.532532119,865.494134528,294.296318443,1105.95052244,90.5806000634,44.9654932294,956.02079802
363.392296779,615.011827572,74.3398029806,512.445875034,149.009771676,505.183194049,445.79956919
2030.14181892,1865.18534214,447.552995663,2212.63817943,201.626350297,705.230327172,838.822919973
3463.48374315,1316.86056171,732.166063919,3447.38264844,314.313880225,344.183769862,3749.76801467
3554.38200313,1213.79470114,800.189445473,3541.53686841,274.971951248,435.736440805,3841.18004677
3924.76989994,801.091348141,1127.71894321,3923.4321813,60.9079263194,643.645944833,4212.98511106
3924.76989994,801.091348141,1127.71894321,3923.4321813,60.9079263194,643.645944833,4212.98511106
334.946352434,1096.61770946,554.712672139,1170.96718165,162.332692103,86.3267967514,705.822840807
248.323983809,1151.91733978,536.370118992,1154.01035692,56.5899622209,44.4798532314,802.727595309
332.233184871,1235.99058273,544.655515935,1079.34563455,140.82572034,48.4417523554,986.746413024
435.298651761,1275.9970693,529.010555613,1043.1628527,141.962511008,158.05237022,1009.98720515
549.919381104,1327.73612185,543.008979649,1020.68899586,223.238961948,247.127430527,1048.59345636
664.449989648,1386.62544086,583.072176671,1013.73083042,128.411731534,209.245107962,1098.3380582
904.394373024,1530.20056761,724.449800042,1044.8443106,203.472683624,92.8529264164,1083.5212761
356.308225738,406.285138578,2567.73386506,440.45074565,164.950835632,425.705936306,113.835825602
