dom_edific,nombre_est,nomb_abrev,telefono,comunas,barrio,longitude,latitude,,,,,,,,
Agustín de Vedia 2519,Centro de Actividades Infantiles y Juveniles Club Bajo Flores,CAIyJ Bajo Flores,4919-0677,7,FLORES,-58.4329,-34.6481,,,,,,,,
Cañada de Gómez 3850,Centro de Actividades Infantiles y Juveniles Club Mataderos,CAIyJ Mataderos,4602-5172,8,VILLA LUGANO,-58.4864,-34.6761,,,,,,,,
Avda. Riestra 5030,Centro de Actividades Infantiles y Juveniles Club Lugano,CAIyJ Lugano,4605-9506,8,VILLA LUGANO,-58.4693,-34.6719,,,,,,,,
Azopardo 1504,Centro de Actividades Infantiles y Juveniles La Boca,CAIyJ La Boca,,4,BOCA,-58.3662,-34.6255,,,,,,,,
Iriarte 3880,Centro de Actividades Infantiles y Juveniles Zavaleta,CAIyJ Zavaleta,,4,BARRACAS,-58.4039,-34.6508,,,,,,,,
Cnel. Martiniano Chilavert 2680,Centro de Actividades Infantiles y Juveniles Bajo  Flores,CAIyJ Bajo Flores,,8,VILLA SOLDATI,-58.4405,-34.6556,,,,,,,,
Avda. Piedra Buena 3100 y Avda. Eva Perón,Centro de Actividades Infantiles y Juveniles Mataderos,CAIyJ Mataderos,,8,VILLA LUGANO,-58.4957,-34.6704,,,,,,,,
Fonrouge 4211,Centro de Actividades Infantiles y Juveniles Lugano,CAIyJ Lugano,,8,VILLA LUGANO,-58.4685,-34.6763,,,,,,,,
Avda. Crisólogo Larralde 1050,Esc. de Educación Media N° 03/10°,EEM 03/10,4702-2028,13,NUÑEZ,-58.4528,-34.5416,,,,,,,,
Avda. Entre Ríos 757,Esc. de Educación Media N° 01/03° E.Reingreso,EEM 01/03 R,4382-9141,3,BALVANERA,-58.3919,-34.6175,,,,,,,,
Avda. de los Constituyentes 3100,Jardín de Infantes Integral N° 04/14,JII 04/14,4521-8026,15,AGRONOMIA,-58.4784,-34.5913,,,,,,,,
Avda. Lisandro de la Torre 2288,"Jardín de Infantes Integral N° 07 D.E. 20 ""JII N° 7""",JII 07/20,4686-0248,9,MATADEROS,-58.502,-34.6608,,,,,,,,
Paraguay 1657,Jardín Maternal N° 06/01 Jardín del Palacio,JM 06/01,4813-5073,2,RECOLETA,-58.3906,-34.5984,,,,,,,,
Crámer 3271,Centro Educativo de Nivel Secundario N° 81,CENS 81,4544-4123,13,NUÑEZ,-58.4702,-34.5543,,,,,,,,
Bragado 5350,Centro Educativo de Nivel Secundario N° 82,CENS 82,,9,MATADEROS,-58.4974,-34.6491,,,,,,,,
Medeyros 3555,Centro Educativo de Nivel Secundario N° 83,CENS 83,4572-4049,12,VILLA URQUIZA,-58.5067,-34.5693,,,,,,,,
Chile 1626,Escuela Infantil N° 02/03° Mane Bernardo,EI 02/03,4381-7261,1,MONTSERRAT,-58.3895,-34.6169,,,,,,,,
San Nicolás 588,Centro de Formación Profesional N° 25 (sede),CFP 25 (s),4671-0010,10,FLORESTA,-58.4809,-34.6266,,,,,,,,
Uriburu 876,Esc. Primaria Común Nº 15 Maestro Jorge Luis Chinetti,EPjc 15,4931-9843,3,SAN CRISTOBAL,-58.4099,-34.6211,,,,,,,,
Avda. Castañares 4689,Centro Educativo Complementario de Educación Plástica Nº 13 Martin Malharro,CEC Plástica 13,4601-8010,8,VILLA LUGANO,-58.4721,-34.6655,,,,,,,,
Girardot 1946,Jardín de Infantes Nucleado C (EPCjc 03/14º) [Sede],JIN C (03) (s),4524-2947,15,VILLA ORTUZAR,-58.4713,-34.5852,,,,,,,,
Avda. Chorroarín 305,Esc. de Educacion Media N° 01/14° Federico García Lorca,EEM 01/14,,15,PATERNAL,-58.4767,-34.5949,,,,,,,,
José Cubas 2410,Esc. de Educacion Media N° 02/16°,EEM 02/16,4594-4548,12,VILLA PUEYRREDON,-58.4948,-34.5854,,,,,,,,
San Nicolás 588,Centro Educativo de Nivel Primario - Sede Supervisión,CENP ACENP,4672-2684,10,FLORESTA,-58.4809,-34.6266,,,,,,,,
Juan Manuel Blanes s/n y Palos 210,Centro de Alfabetización, Educación Básica y Trabajo,CAEByT,Dir de Educación del Adulto y del Adolescente,4,-58.3639,-34.6329,,,,,,,,
Martínez Castro 3061,Centro de Alfabetización, Educación Básica y Trabajo N° 16,CAEByT 16,Dir de Educación del Adulto y del Adolescente,19,-58.449,-34.6623,,,,,,,,
Estados Unidos 2957,Centro de Alfabetización, Educación Básica y Trabajo N° 67 Caminos Abiertos,CAEByT 67,Dir de Educación del Adulto y del Adolescente,6,-58.4069,-34.6206,,,,,,,,
Varela y Avda. Perito Moreno, Villa 1-11-14,,Varela y Avda. Perito Moreno,CAEByT 32,,-58.4474,-34.6484,19,7,FLORES,HTAL. DR. P. PIÑERO,101459,97876.1,,
Talcahuano 680,Centro Educativo Cursos Especiales - Supervisión Cursos Especiales,CECE Sup .Cursos Especiales,4372-7201,1,SAN NICOLAS,-58.3855,-34.6007,,,,,,,,
Avda. Díaz Vélez 4093,Centro de Formación Profesional N° 29 - Asociación de Educadores Porteños,CFP 29 AEP,4982-3961/4981-1131,5,ALMAGRO,-58.4245,-34.6085,,,,,,,,
Tilcara 2856,Centro Educativo de Nivel Secundario N° 84,CENS 84,4918-3640,4,NUEVA POMPEYA,-58.422,-34.6488,,,,,,,,
Puán 480,Centro Educativo de Nivel Secundario N° 79,CENS 79,4432-0606,6,CABALLITO,-58.4465,-34.6283,,,,,,,,
Gallo 238,Conservatorio de Música Manuel de Falla,C de Música M de Falla,4371-8786/5898,5,ALMAGRO,-58.4137,-34.6058,,,,,,,,
Juan Agustín García 1511,Jardín de Infantes Nucleado A (EPCjc 15/14°),JIN A (15),,15,PATERNAL,-58.4657,-34.6018,,,,,,,,
Monasterio 480,Instituto Superior de Tecnicaturas para la Salud,I Sup Tecnicaturas p/Salud,4807-3341,4,PARQUE PATRICIOS,-58.3935,-34.6411,,,,,,,,
