id,nombre,intersec,lin_sent_n,metrobus,lon,lat
1,Liniers,,34 - 109 - 166,Metrobus Juan B. Justo,-58.5261125181,-34.6382666942
2,Velez Sarsfield,,34 - 99 - 166 - 172,Metrobus Juan B. Justo,-58.5201431945,-34.6334969244
3,Polideportivo Velez Sarsfield,JUSTO JUAN B. & GARCIA JUAN AGUSTIN,34 - 99 - 166 - 172,Metrobus Juan B. Justo,-58.5139131012,-34.6334578211
4,Cortina,JUSTO JUAN B. & CORTINA,34 - 99 - 166 - 172,Metrobus Juan B. Justo,-58.5067296378,-34.6343410771
5,Av. Lope de Vega,JUSTO JUAN B. & LOPE DE VEGA,34 - 99 - 166 - 172,Metrobus Juan B. Justo,-58.5010420988,-34.6322077868
6,Carrasco,JUSTO JUAN B. & CARRASCO,34 - 99 - 166 - 172,Metrobus Juan B. Justo,-58.4948536966,-34.6295372758
7,Av. Segurola,JUSTO JUAN B. & SEGUROLA,34 - 99 - 166 - 172,Metrobus Juan B. Justo,-58.4910956463,-34.6270110383
8,Chivilcoy,JUSTO JUAN B. & CHIVILCOY,34 - 166,Metrobus Juan B. Justo,-58.4859240774,-34.6251438295
9,Concordia,JUSTO JUAN B. & CONCORDIA,34 - 166,Metrobus Juan B. Justo,-58.4808176438,-34.6220415598
10,Av. Nazca,JUSTO JUAN B. & NAZCA,34 - 166,Metrobus Juan B. Justo,-58.4760963334,-34.6181025949
11,Artigas,JUSTO JUAN B. & ARTIGAS JOSE GERVASIO GRAL,34 - 166,Metrobus Juan B. Justo,-58.4722554944,-34.61382397
12,Boyaca,JUSTO JUAN B. & BOYACA,34 - 110 - 166,Metrobus Juan B. Justo,-58.4678482158,-34.6113038226
13,Av. Donato Alvarez,JUSTO JUAN B. & ALVAREZ DONATO Tte. Gral.,34 - 110 - 166,Metrobus Juan B. Justo,-58.4627046319,-34.6073730119
14,Av. San Martín,JUSTO JUAN B. & SAN MARTIN AV.,34 - 109 - 110 - 166,Metrobus Juan B. Justo,-58.458473925,-34.6044918451
15,Av. Honorio Pueyrredón,JUSTO JUAN B. & PUEYRREDON HONORIO DR.,34 - 109 - 166,Metrobus Juan B. Justo,-58.4520522783,-34.6001204427
16,Murillo,JUSTO JUAN B. & MURILLO,34 - 109 - 166,Metrobus Juan B. Justo,-58.4476901038,-34.5970914096
17,Av. Corrientes,JUSTO JUAN B. & CORRIENTES,34 - 166,Metrobus Juan B. Justo,-58.4443001538,-34.5947640308
18,Aguirre,JUSTO JUAN B. & AGUIRRE,34 - 166,Metrobus Juan B. Justo,-58.4407030186,-34.5922669286
20,Honduras,JUSTO JUAN B. & HONDURAS,34 - 166,Metrobus Juan B. Justo,-58.4347532123,-34.585372195
21,Guatemala,JUSTO JUAN B. & GUATEMALA,34 - 166,Metrobus Juan B. Justo,-58.4300412554,-34.5818796848
23,Pacífico,BULLRICH INT AV & SANTA FE,34 - 166,Metrobus Juan B. Justo,-58.4265153541,-34.5775832414
27,Estados Unidos,Entre Carlos Calvo y Estados Unidos,10 -- 17 -- 59,Metrobus 9 de Julio,-58.3808540572,-34.6188767141
28,Independencia,Entre Estados Unidos e Independencia,45 -- 70,Metrobus 9 de Julio,-58.3808827691,-34.6178904774
29,Chile,Entre Independencia y Chile,9 -- 91 -- 100,Metrobus 9 de Julio,-58.3809449928,-34.6166794883
30,México,Entre Chile y México,67 -- 98 -- 129,Metrobus 9 de Julio,-58.3809905284,-34.615509773
31,Venezuela,Entre México y Venezuela,10 -- 17 -- 59,Metrobus 9 de Julio,-58.3810303569,-34.6145006069
