id_univ,nombre,domicilio,tipo,sigla,domic_2,cp,telef,fax,web_univer,web_facult,unidad_aca,lon,lat,,,,
39,Pontificia Universidad Católica Argentina,1300 MOREAU DE JUSTO,UP,UCA,"Av. Alicia Moreau de Justo 1300 "" Edificio Santa María de los Bue",1107,4349-0251/4349-0200/43380600,4349-0273,www.uca.edu.ar,,Rectorado,-58.3659544825,-34.6134172927,,,,
54,Universidad del Museo Social Argentino,1440 ALSINA,UP,UMSA,Alsina 1440,1088,4383-6809/7018,4375-4600,www.umsa.edu.ar,,Facultad de Ciencias Económicas de la Administración y de los Negocios,-58.3866657032,-34.6112940963,,,,
70,Universidad Favaloro,1723 BELGRANO,UP,FAVALORO,Av. Belgrano 1723 piso 1º,1093,4378-1117,4384-0782,www.favaloro.edu.ar,,Facultad de Ingeniería y Ciencias Exactas y Naturales,-58.3906797339,-34.6135347981,,,,
70,Universidad Favaloro,1782 BELGRANO,UP,FAVALORO,Av. Belgrano 1782, 2º piso,1093,4378-1237,4378-1238,www.favaloro.edu.ar,,-58.3913728066,-34.614019238,,,,
52,Universidad de Morón,262 CALLAO,UP,UNIMORON,Av. Callao 262 1º piso,1022,4375-0104,,,,Anexo Académico Instituto Argentino de Seguridad,-58.3924366808,-34.6061152924,,,,
83,Instituto Universitario Naval,2055 COMODORO PY,IN,INUN,Av. Comodoro Py 2055 Piso 10,1104,4317-2000,4317-2000,www.inun.edu.ar,,Rectorado,-58.3675411903,-34.5875557293,,,,
83,Instituto Universitario Naval,1231 COMODORO RIVADAVIA,IN,INUN,Av. Comodoro Rivadavia 1231,1429,4704-9570 /9546,4704-9570,www.inun.edu.ar,,Escuela Nacional de Náutica,-58.4602464455,-34.5380865126,,,,
97,Instituto Universitario Escuela Argentina de Negocios,1690 CORDOBA,IP,EAN,Av. Córdoba 1690/92,1055,5032-3991/3900,5032-3901,www.ean.com.ar,,Rectorado,-58.3912054625,-34.5998337544,,,,
1,Universidad de Buenos Aires,2122 CORDOBA,UN,UBA,Av. Córdoba 2122,1120,4370-6159/4/4448/4374-1155,4370-6103,www.uba.ar,www.econ.uba.ar,Facultad de Ciencias Económicas,-58.3974961124,-34.5999615103,,,,
84,Instituto Universitario Nacional del Arte,2445 CORDOBA,IN,IUNA,Av. Córdoba 2445,1120,4 961-0161/ 4 964-5593,,www.iuna.edu.ar,,"Departamento de Artes Musicales y Sonoras ""Carlos López Buchardo""",-58.4017051994,-34.5992112002,,,,
85,Instituto Universitario de Seguridad Marítima,345 CORRIENTES,IN,,Av. Corrientes 345 Piso 12,1043,4576-7655/4576-7611/13/4576-7611,4576-7655,,,Rectorado,-58.3717388639,-34.6028886965,,,,
11,Universidad Nacional de la Matanza,774 AVENIDA DE MAYO,UN,UNLM,Av. de Mayo 774 Pisos 1º,2º,3º,1084,4342-8776,4480-8975,www.unlm.edu.ar,-58.3773547889,-34.6089933521,,,,
83,Instituto Universitario Naval,8071 DEL LIBERTADOR,IN,INUN,Av. del Libertador 8071,1429,4704-7725,4704-8253,www.inun.edu.ar,,Escuela de Guerra Naval,-58.4634876243,-34.540386228,,,,
84,Instituto Universitario Nacional del Arte,1701 ESPAÑA,IN,IUNA,Av. España 1701,1107,4361-4419/3790,,www.iuna.edu.ar,,"Dirección de Posgrado en Artes Visuales ""Ernesto de la Cárcova""",-58.3565684128,-34.6185117802,,,,
84,Instituto Universitario Nacional del Arte,1749 LAS HERAS,IN,IUNA,Av. Las Heras 1749,1018,4812-0946/1757,,www.iuna.edu.ar,,"Departamento de Artes Visuales ""Prilidiano Pueyrredón""",-58.3912118782,-34.5920632082,,,,
1,Universidad de Buenos Aires,1120 MONTES DE OCA,UN,UBA,Av. Montes de Oca 1120,1270,4302-8589,,www.uba.ar,,"Sede - Rector José Luis Romero (""Montes de Oca"")",-58.3738872647,-34.640819885,,,,
83,Instituto Universitario Naval,2124 MONTES DE OCA,IN,INUN,Av. Montes de Oca 2124,1271,4303-2299/4301-9809,4301-9809,www.inun.edu.ar,www.hidro.gov.ar,Escuela de Ciencias del Mar,-58.3710808476,-34.6514903326,,,,
1,Universidad de Buenos Aires,2263 FIGUEROA ALCORTA,UN,UBA,Av. Pte. Figueroa Alcorta 2263,1425,4809-5697/5600/5696/3190,4809-5694,www.uba.ar,www.derecho.uba ar,Facultad de Derecho,-58.3922817772,-34.5828158,,,,
79,Universidad Abierta Interamericana,983 SAN JUAN,UP,UAI,Av. San Juan 983,1147,4300-2147,4362-5028,,,Localización Centro,-58.3796167065,-34.621883191,,,,
1,Universidad de Buenos Aires,4453 SAN MARTIN,UN,UBA,Av. San Martín  4453,1417,4514-8732 (C)4524-8000,4514-8737,www.uba.ar,www.agro.uba.ar,Facultad de Agronomía,-58.4822986052,-34.597755652,,,,
1,Universidad de Buenos Aires,4453 SAN MARTIN,UN,UBA,Av. San Martín  4453,1417,4514-8980,4523-4265,www.uba.ar,,Centro Universitario Regional Paternal,-58.4829345035,-34.5960909254,,,,
52,Universidad de Morón,4671 TRIUNVIRATO,UP,UNIMORON,Av. Triunvirato 4671,1431,4521-3500,,,,Anexo Académico Villa Urquiza,-58.485909705,-34.5744381823,,,,
100,FLACSO (Facultad Latinoamericana de Ciencias Sociales),551 AYACUCHO,UI,FLACSO,Ayacucho 551,1026,4375-2435/5238-9339 (C)5238-9300,4375-1373,www.flacso.org.ar,,Rectorado,-58.3956860143,-34.6026973851,,,,
84,Instituto Universitario Nacional del Arte,350 AZOPARDO,IN,IUNA,Azopardo 350 Piso 1º,1107,4342-7599/7450/4331-4150,,www.iuna.edu.ar,,Área Transdepartamental Carrera de Crítica de Artes,-58.3677761701,-34.6114273534,,,,
52,Universidad de Morón,784 BARTOLOME MITRE,UP,UNIMORON,Bartolomé Mitre 784 1º piso,1036,5031-3333,,,,Anexo Cámara Inmobiliaria Argentina,-58.3775612903,-34.6071511058,,,,
82,Instituto de Enseñanza Superior del Ejército,15 CABILDO,IN,IESE,Cabildo 15,1426,4779-3384/3302,4779-3384,,www.iese.edu.ar,"Escuela Superior Técnica ""General de División Manuel Nicolás Savio""",-58.435544733,-34.5746706613,,,,
95,Instituto Universitario ISEDET,252 CAMACUA,IP,ISEDET,Camacua 252,1406,4632-5030/5039/4361-0882,4633-2825,www.isedet.edu.ar,,Facultad de Teología,-58.4571649666,-34.6304813826,,,,
95,Instituto Universitario ISEDET,282 CAMACUA,IP,ISEDET,Camacuá 282,1406,4632-5030/5039/4361-0882,4633-2825,www.isedet.edu.ar,,Rectorado,-58.4570126725,-34.630822556,,,,
80,Instituto Universitario de la Policía Federal Argentina,3378 CAVIA,IN,IUPFA,Cavia 3378,1425,4809-6162/ 4809-6161,,www.universidad-policial.edu.a,,Centro de Educación a Distancia Universitaria,-58.4040594597,-34.5734034774,,,,
1,Universidad de Buenos Aires,280 CHORROARIN,UN,UBA,Chorroarín 280,1427,4524-8400(R)4524-8402/4514-8952,4514-8968,www.uba.ar,www.fvet.uba.ar,Facultad de Ciencias Veterinarias,-58.4776921498,-34.5949775013,,,,
1,Universidad de Buenos Aires,CIUDAD UNIVERSITARIA - PABELLON II -  NUÑEZ,UN,UBA,Ciudad Universitaria - Pabellón II -  Nuñez,1428,4576-3332/3/3300/09,4576-3351,www.uba.ar,www.fcen.uba.ar,Facultad de Ciencias Exactas y Naturales,-58.4428409098,-34.542278668,,,,
1,Universidad de Buenos Aires,CIUDAD UNIVERSITARIA PABELLON III - NUÑEZ,UN,UBA,Ciudad Universitaria Pabellón III - Nuñez,1428,4789-6201/4789-6210   (R)4789-6200,4576-3205,www.uba.ar,www.fadu.uba.ar,Facultad de Arquitectura,-58.4441846757,-34.541636483,,,,
81,Instituto Universitario Aeronáutico,250 ZANNI,IN,IUA,Comodoro Pedro Luis Zanni 250,1004,4317-6464,4317-6464,,,Escuela Superior de Guerra Aérea,-58.3703099905,-34.5845140389,,,,
39,Pontificia Universidad Católica Argentina,4422 CONCORDIA,UP,UCA,Concordia 4422,1419,4501-6428/6748,4501-6748,,,Facultad de Teología,-58.5084549132,-34.5933156288,,,,
55,Universidad del Norte Santo Tomás de Aquino,422 DEFENSA,UP,,Defensa 422,1065,4345-4817,4345-4817,,,Facultad de Filosofía -Sede en Buenos Aires,-58.3717577612,-34.6127782739,,,,
