24 de Noviembre 900;Inst. Dr. Ramón Carrillo;I Dr R Carrillo;4931-3290;3;SAN CRISTOBAL;-58.4106;-34.6218
Olleros 2110;Inst. Privado Colegio Master;I Priv Col Master;4514-5470;14;PALERMO;-58.4414;-34.568
Serrano 1116;Inst. San Gregorio;I San Gregorio;4776-3872;15;VILLA CRESPO;-58.4354;-34.5919
Avda. Crisólogo Larralde 2767;Inst. R. P. Hansen;I R P Hansen;4702-8630;12;SAAVEDRA;-58.4715;-34.5506
Avda. Nazca 750;Escuela Integral Maimonides;Esc Int Maimonides;4613-7900 4611-9824;7;FLORES;-58.4729;-34.6237
Cullen 5690;Inst. Tomás Devoto;I Tomás Devoto;4571-2019;12;VILLA URQUIZA;-58.4941;-34.5765
Helguera 3071;Inst. Schiller;I Schiller;4501-5929/0293;11;VILLA DEL PARQUE;-58.4935;-34.6009
Martiniano Leguizamón 3951;Colegio San Martín de los Andes;Col S M de los Andes;4602-5171;8;VILLA LUGANO;-58.4772;-34.6753
Avda. Cabildo 2967;Escuela Argentina de Psicomotricidad - A.C.E.S;Esc Arg de Psicomotricidad  ACE;4702-5620/1142;13;NUÑEZ;-58.4629;-34.5547
Humberto I° 102;Inst. Privado de Educación Técnica y Formación Profesional 13;I Priv de ETéc y Form Profesional;4361-7075;1;SAN TELMO;-58.3672;-34.6207
Manuel Ugarte 2815;Inst. Superior Educativo Salud de Ciencias;I Sup Educ Salud de Ciencias;4783-0586;13;BELGRANO;-58.4658;-34.5582
Esmeralda 759;Inst. Colegio de Ntra. Señora;I Colegio de Nuestra Señora;4393-5795/7489;1;SAN NICOLAS;-58.3781;-34.5996
Juncal 1160;Inst. Privado Mallinckrodt;I Priv Mallinckrodt;4811-2962;1;RETIRO;-58.3838;-34.5929
Viamonte 1892;Inst. Paula Montal;I Paula Montal;4813-5691;3;BALVANERA;-58.394;-34.601
Larrea 1254;Inst. San Miguel;I San Miguel;4826-7026;2;RECOLETA;-58.4004;-34.5928
Avda. Gaona 1734;Inst. San Pedro Nolasco;I San Pedro Nolasco;4581-1968;6;CABALLITO;-58.4527;-34.6112
José Juan Biedma 924;Inst. Profesional San José;I Prof San José;4581-9173;6;CABALLITO;-58.4553;-34.614
Bahía Blanca 363;Inst. Adelia Maria Harilaos de Olmos;I A M Harilaos de Olmos;4672-7090;10;FLORESTA;-58.4819;-34.6297
Yatay 240;Escuela Técnica Ort 01;ET Ort 01;4958-9000/9090;5;ALMAGRO;-58.4292;-34.61
Avda. Acoyte 75;Inst. Carlos Pellegrini;I Carlos Pellegrini;4901-3297;6;CABALLITO;-58.4367;-34.6174
Acevedo 276;Inst. Dr. Herzl;I Dr Herzl;4855-4062 4854-9745;15;VILLA CRESPO;-58.4422;-34.5992
Yerbal 65;Fundación Salottiana (Summa);Fund Salottiana (Summa);4901-7118;6;CABALLITO;-58.4315;-34.6146
Gurruchaga 338;Escuela Secundaria Integral Scholem Aleijem;ESI Scholem Aleijem;4855-4200;15;VILLA CRESPO;-58.4435;-34.5986
Antonio Machado 628;Inst. del Profesorado en Enfermeria Padre Luis Tezza;I Prof en Enfermería Padre L Tezza;4854-0032;6;CABALLITO;-58.4406;-34.6067
Serrano 557;Inst. Integral Mundo Nuevo;I Integral Mundo Nuevo;4854-2019;15;VILLA CRESPO;-58.4417;-34.596
Nicasio Oroño 942;Inst. Orsino;I Orsino;4581-8001;6;CABALLITO;-58.4545;-34.6138
Yatay 240;Inst. de Tecnología Ort 01;I de Tecnología Ort 01;4958-4411/9000;5;ALMAGRO;-58.4292;-34.61
Río de Janeiro 663;Inst. Sudamericano Modelo;I Sudamericano Modelo;4982-4163;5;ALMAGRO;-58.4304;-34.6077
Lavalleja 180;Inst. Sarmiento;I Sarmiento;4854-4873;15;VILLA CRESPO;-58.437;-34.6024
Dr. Juan Felipe Aranguren 723;Colegio Integral Caballito;Col Integral Caballito;4901-0843 4432-7360;6;CABALLITO;-58.4428;-34.6145
Lavalleja 250;Inst. Educativo Alas;I Educ Alas;4857-1428;15;VILLA CRESPO;-58.4361;-34.6018
Salta 2290;Escuela Parroquial Sta. Elisa;Esc Parroquial Sta. Elisa;4305-3613;4;BARRACAS;-58.3824;-34.6339
Achala 3679;Inst. Privado Inmaculada Concepción;I Priv Inmaculada Concepción;4911-1773/1345;4;NUEVA POMPEYA;-58.4154;-34.6422
Isabel La Católica 221;Inst. Parroquial Sta. Lucia;I P Sta Lucía;4362-6061;4;BARRACAS;-58.3743;-34.6345
Avda. Manuel Montes de Oca 140;Inst. Vitra;I Vitra;4307-6813/7252;4;BARRACAS;-58.3769;-34.6298
Avda. Entre Ríos 1956;Inst. Los Angeles;I Los Angeles;4305-7399;1;CONSTITUCION;-58.3905;-34.631
Ituzaingó 831;Inst. Educativo Barracas;I Educ Barracas;4307-1275;4;BARRACAS;-58.3755;-34.6315
Gral. Hornos 882;Inst. Tiempo Educativo;I Tiempo Educativo;4307-7214 4301-3896;4;BARRACAS;-58.3764;-34.637
Avda. Brasil 825;El Solcito de Catalina;El Solcito de Catalina;4300-4272;1;CONSTITUCION;-58.3766;-34.6264
24 de Noviembre 827;Inst. Mater Ter Admirabilis;I Mater Ter Admirabilis;4931-0608/5980;3;SAN CRISTOBAL;-58.4109;-34.6207
Yapeyú 197;Inst. Pío IX;I Pío IX;4981-1337/1985;5;ALMAGRO;-58.4218;-34.6144
Hipólito Yrigoyen 3900;Inst. San Francisco de Sales;I San Francisco de Sales;4982-5400;5;ALMAGRO;-58.4214;-34.6149
Yapeyú 132;Inst. María Auxiliadora;I María Auxiliadora;4981-7081/5242;5;ALMAGRO;-58.4217;-34.6138
La Rioja 660;Inst. Hogar de Niños Ramón L. Falcon;I Hogar de Niños R L Falcón;4931-3159;3;BALVANERA;-58.408;-34.6176
Avda. Jujuy 2179;Inst. Ntra. Sra. de Luján;I Ntra Sra de Luján;4308-3434 4941-4666;4;PARQUE PATRICIOS;-58.3992;-34.6356
Juncal 2623;Inst. San Tarsicio;I San Tarsicio;4805-9889;2;RECOLETA;-58.4034;-34.5901
Humahuaca 3944;Escuela Infantil Tiempo de Juego;EI Tiempo de Juego;4862-2249;5;ALMAGRO;-58.42;-34.6022
24 de Noviembre 1665;Inst. San Vicente de Paul;I San Vicente de Paul;4911-0286;4;PARQUE PATRICIOS;-58.4099;-34.6307
Avda. Jujuy 1241;Inst. San Cristobal;I San Cristóbal;4941-2760 4943-4408;3;SAN CRISTOBAL;-58.4022;-34.6244
Avda. Chiclana 3659;Inst. San Bartolomé;I San Bartolomé;4921-4440;5;BOEDO;-58.4154;-34.6368
24 de Noviembre 900;Inst. Sta. Cruz;I Sta Cruz;4957-3306 4931-8908;3;SAN CRISTOBAL;-58.4106;-34.6218
Gral. Urquiza 167;Inst. Superior de Electrónica Gral. Savio;I Sup de Electrónica Gral Savio;4931-7164;3;BALVANERA;-58.4103;-34.6123
Moreno 3363;Esc. Central de Especialidades Paramédicas de la Cruz Roja Argentina;EC Espec Paramédicas Cruz Roja;4863-7227/7739;5;ALMAGRO;-58.4139;-34.6141
Alberti 191;Inst. Amado Olmos Atsa;I Amado Olmos Atsa;4952-0660/0592;3;BALVANERA;-58.4017;-34.612
Carbajal 3250;Inst. Sta. Catalina de Belgrano;I Sta Catalina de Belgrano;4552-4353/8572;13;BELGRANO;-58.4606;-34.5717
Virrey del Pino 3511;Inst. Mekhitarista;I Mekhitarista;4552-3690;13;BELGRANO;-58.465;-34.5726
Cuba 3302;Inst. de Enseñanza Primaria Gral. San Martin;I E Prim Gral San Martín;4701-0864;13;NUÑEZ;-58.4646;-34.5502
Manuela Pedraza 3950;Inst. Sta. María de los Angeles;I Sta María de los Angeles;4542-2089 4543-3142;12;COGHLAN;-58.4802;-34.5593
Otamendi 28;Inst. Privado Unión Docentes Argentinos;I Priv UDA;4902-1506/07/08 4904-234;6;CABALLITO;-58.4319;-34.6158
Yatay 129;Inst. de Formación Profesional Superior;I Formación Profesional Superior;4981-8207/6050;5;ALMAGRO;-58.4285;-34.6123
Acevedo 262;Escuela Terciaria de Estudios Radiofonicos;E Terc de Estudios Radiofónicos;4857-5701/02;15;VILLA CRESPO;-58.4423;-34.5992
Avda. Gaona 2197;Escuela del Policlinico Bancario 9 de julio;Esc del Policlinico Bancario;4586-8888/13;6;CABALLITO;-58.4575;-34.6129
Yerbal 1755;Inst. Superior de Psicologia Social;I Sup de Psicología Social;4631-3582/9424;7;FLORES;-58.4555;-34.6247
Jorge Luis Borges 1791;Inst. Jardín Amapola;I Jardin Amapola;4831-3914;14;PALERMO;-58.4283;-34.5876
Paraguay 5115;Inst. Modelo de Educación Preescolar;I Modelo Educ Preescolar;4772-1218;14;PALERMO;-58.4302;-34.5799
Gurruchaga 568;Inst. Villa Soles;I Villa Soles;4854-6364;15;VILLA CRESPO;-58.4408;-34.5966
Ciudad de la Paz 394;Formación de Ciencias Empresariales;F de Ciencias Empresariales;4553-6351 4701-7898;14;PALERMO;-58.4423;-34.574
Avda. Cabildo 1478;Inst. Superior Letras Eduardo Mallea;I Sup Letras Eduardo Mallea;4782-2701;13;COLEGIALES;-58.4506;-34.5673
Moldes 1825;Colegio de la Ciudad;Col de la Ciudad;5786-5786;13;BELGRANO;-58.4572;-34.5662
