1;HOSP. GENERAL DE NIÑOS P. DE ELIZALDE;MANUEL A. MONTES DE OCA;40;4307-5842 / 5844;4307-5442 / 4300-1700;4302-7400;www.elizalde.gov.ar;C1270AAN;PEDIATRIA;Ministerio de Salud GCBA;40 MANUEL A. MONTES DE OCA;-58.3775508492;-34.6288473607;"{""type"":""Point"";""coordinates"":[-58.37755;-34.62885]}"
2;HOSP. GENERAL DE NIÑOS R. GUTIERREZ;GALLO;1330;4962-9247 / 9248 / 9280;4962-9232;4962-3762;www.guti.gov.ar;C1425EFD;PEDIATRIA;Ministerio de Salud GCBA;1330 GALLO;-58.412070077;-34.594191973;"{""type"":""Point"";""coordinates"":[-58.41207;-34.59419]}"
3;HOSP. DE PEDIATRIA DR. J. GARRAHAM;COMBATE DE LOS POZOS;1881;"4941-8772 / 4942-7475
";4941-8702;4941-8532;www.garrahan.gov.ar;C1245AAM;PEDIATRIA;Ministerio de Salud GCBA;1881 COMBATE DE LOS POZOS;-58.3918791819;-34.6299453616;"{""type"":""Point"";""coordinates"":[-58.39188;-34.62995]}"
4;HOSP. ODONTOLOGICO DR. R. CARRILLO (EX NACIONAL);SANCHEZ DE BUSTAMANTE;2529;4805-5521 / 7533;4805-6407;4805-7533;;C1425DUY;ODONTOLOGIA;Ministerio de Salud GCBA;2529 SANCHEZ DE BUSTAMANTE;-58.4005143377;-34.5847671286;"{""type"":""Point"";""coordinates"":[-58.40051;-34.58477]}"
5;TALLERES PROTEGIDOS DE REHABILITACION PSIQUIATRICA;SUAREZ;2215;4301-3961;;4302-9160;;C1284AGA;SALUD MENTAL;Ministerio de Salud GCBA;2215 SUAREZ;-58.3814293383;-34.6419888019;"{""type"":""Point"";""coordinates"":[-58.38143;-34.64199]}"
6;HOSP. DE SALUD MENTAL BRAULIO MOYANO;BRANDSEN;2570;4301-3655 / 3659;4301-4522;4303-3655/59;www.moyano.org.ar;C1287ABI;SALUD MENTAL;Ministerio de Salud GCBA;2570 BRANDSEN;-58.385155912;-34.6394041319;"{""type"":""Point"";""coordinates"":[-58.38516;-34.6394]}"
7;HOSP. DE GASTROENTEROLOGIA B. UDAONDO;CASEROS;2061;4306-4641 / 4649;4306-4641 / 49 (int. 125);4306-3013;;C1264AAA;ENF. APAR. DIGESTIVO;Ministerio de Salud GCBA;2061 CASEROS;-58.3913114401;-34.634153576;"{""type"":""Point"";""coordinates"":[-58.39131;-34.63415]}"
8;INST. DE ZOONOSIS L. PASTEUR;DIAZ VELEZ;4821;4982-8421 / 4504 / 6666;4982-8421 / 4504 / 6666;4983-7300;;C1405DCD;ZOONOSIS;Ministerio de Salud GCBA;4821 DIAZ VELEZ;-58.434943348;-34.6084721258;"{""type"":""Point"";""coordinates"":[-58.43494;-34.60847]}"
9;HOSP. DE REHABILITACION RESPIRATORIA M. FERRER;DOCTOR ENRIQUE FINOCHIETTO;849;4307-1445 / 4677 / 6777 / 6738 / 7474;4307-1445 (int. 145);4307-2567;;C1272AAA;NEUMONOLOGIA;Ministerio de Salud GCBA;849 DOCTOR ENRIQUE FINOCHIETTO;-58.3758433489;-34.6302112047;"{""type"":""Point"";""coordinates"":[-58.37584;-34.63021]}"
10;HOSP. INFANTO JUVENIL C. TOBAR GARCIA;DOCTOR RAMON CARRILLO;315;4305-6108;4304-6666;4304-4911;;C1275AHG;SALUD MENTAL;Ministerio de Salud GCBA;315 DOCTOR RAMON CARRILLO;-58.3823284515;-34.6357022353;"{""type"":""Point"";""coordinates"":[-58.38233;-34.6357]}"
